Código;Tipo;Detalle;Valor
"8-0GZRYU";"promo";"Gana un viaje";"1000" 
"8-3A20GS";"promo";"Gana un viaje";"1000" 
"8-3G5N7Q";"promo";"Gana un viaje";"1000" 
"8-6F5HWB";"promo";"Gana un viaje";"1000" 
"8-747L8Z";"promo";"Gana un viaje";"1000" 
"8-8MJ4V8";"promo";"Gana un viaje";"1000" 
"8-BJJ2QI";"promo";"Gana un viaje";"1000" 
"8-D0JXDF";"promo";"Gana un viaje";"1000" 
"8-DK0EDA";"promo";"Gana un viaje";"1000" 
"8-F808OR";"promo";"Gana un viaje";"1000" 
"8-FIQEHC";"promo";"Gana un viaje";"1000" 
"8-IJLPEP";"promo";"Gana un viaje";"1000" 
"8-JGJNQW";"promo";"Gana un viaje";"1000" 
"8-KY99TF";"promo";"Gana un viaje";"1000" 
"8-M2EB2A";"promo";"Gana un viaje";"1000" 
"8-QD5WMK";"promo";"Gana un viaje";"1000" 
"8-RT1CII";"promo";"Gana un viaje";"1000" 
"8-SO5W0O";"promo";"Gana un viaje";"1000" 
"8-T9UMPE";"promo";"Gana un viaje";"1000" 
"8-WRJTM0";"promo";"Gana un viaje";"1000" 
